n,k,train_size,hidden_size,weight_decay,w_init_scale,seed,slug,maxRatio,minTrainLoss,minEvalLoss
30,3,1500,32,1,3,5,09627489157439129,2.063291413006577,0.038341909646987915,0.043259043246507645
30,3,750,32,0.01,1,7,09655765244423209,55642061.366949394,1.1920930376163597e-7,0.7046760320663452
30,3,1250,32,1,0.3,7,09733653644537976,4.0907353162348405,0.1903509497642517,0.6952566504478455
30,3,1250,32,0.1,1,4,09785636243190776,511949.0952209121,1.1920930376163597e-7,1.1920930376163597e-7
30,3,750,32,0.03,10,8,09851164824354475,52463297.74588755,1.1920930376163597e-7,0.72826087474823
30,3,1500,32,0.03,3,5,10106170928352087,89964.49875282963,1.1920930376163597e-7,1.2199880927710183e-7
30,3,750,32,0.01,10,3,1012159519821263,51609137.84771134,1.1920930376163597e-7,0.7283244132995605
30,3,750,32,0.01,0.3,3,10130599238228721,53643765.60516481,1.1920930376163597e-7,0.6960487365722656
30,3,1250,32,0.1,10,7,10309940567014697,12163444.97832724,1.1920930376163597e-7,1.1920930376163597e-7
30,3,1250,32,0.03,3,4,10371113555026068,297996.32101958216,1.1920930376163597e-7,1.2248756320332177e-7
30,3,750,32,1,1,4,10417991114708858,5.115770649595647,0.18757975101470947,0.7009855508804321
30,3,750,32,0.01,1,2,1044306401298073,50575417.97094035,1.1920930376163597e-7,0.7003538608551025
30,3,1500,32,0.03,3,2,10479163339988551,210490.9992491887,1.1920930376163597e-7,1.239299933786242e-7
30,3,1250,32,0.1,1,3,10515362137372575,20102079.603645373,1.1920930376163597e-7,1.1920930376163597e-7
30,3,1000,32,1,10,2,10552957910228833,4.388690922121723,0.08074682950973511,0.3233013451099396
30,3,1750,32,1,0.1,5,10570999713974427,1.7535180327201256,0.044946182519197464,0.05667610466480255
30,3,1500,32,0.01,0.3,7,10616312535557892,554100.8089460363,1.1920930376163597e-7,0.002749531762674451
30,3,1250,32,0.01,10,4,10667537098175661,9328805.11869015,1.1920930376163597e-7,0.23331962525844574
30,3,1750,32,0.1,3,6,1070542285641708,41179.6875,1.1920928955078125e-7,1.1920930376163597e-7
30,3,1750,32,0.1,1,6,10727311487652147,3544.541332635524,1.1920928955078125e-7,1.1920930376163597e-7
