train_size,hidden_size,weight_decay,seed,slug,maxRatio,minTrainLoss,minEvalLoss
1250,8,0.1,4,1233503050369994,39072.4697917037,1.1920930376163597e-7,1.1920930376163597e-7
1000,8,1,4,12467051544339347,1.3334219081207357,0.4406251907348633,0.539469838142395
1750,12,0.1,1,12479310627499529,1.9436622858047485,1.1920928955078125e-7,1.1922122666874202e-7
1250,4,0.03,7,1253508910898714,2.0071700746478216,0.5745810866355896,0.6970982551574707
1500,8,0.1,8,12567210030088005,1.443087752035964,0.6549079418182373,0.6956729292869568
1500,8,0.03,0,12585745213794386,1.121725502482661,0.2541540563106537,0.26214832067489624
1250,20,0.3,1,1271932246441897,16.538286512713032,1.1920930376163597e-7,1.2730362186630373e-7
1250,16,1,4,1272500975006936,1.620619372699289,0.2566434442996979,0.27952855825424194
1250,4,0.3,5,12763829103577395,1.0683923054872773,0.5360609292984009,0.5639525055885315
2000,4,0.1,1,13019908021983562,1.107293902416353,0.4301000237464905,0.437522828578949
1750,4,0.03,6,13021354625578674,1.1182288010963977,0.08951518684625626,0.09080273658037186
1250,20,0.1,3,13035877402716833,7756855.603442202,1.1920930376163597e-7,1.1920930376163597e-7
1500,20,0.3,2,13038000160748187,1.741871536629401,1.213153382195742e-7,1.2953283601291332e-7
1250,20,0.01,8,13221528259969528,63604.561590652746,1.1920930376163597e-7,0.0000036632536648539826
1000,12,1,4,1326810083485901,1.6651578793409283,0.42197760939598083,0.652398943901062
1750,16,1,0,1330789757048496,1.325385114385523,0.17244330048561096,0.17895281314849854
1250,8,1,2,13311932634837065,1.0486385734507604,0.5546836256980896,0.5537809133529663
1250,16,0.3,7,13373111454079345,12.211333317412276,1.1920930376163597e-7,1.2652876080210262e-7
2000,12,1,1,13412288752915524,1.233749487252563,0.26823166012763977,0.2771128714084625
2000,20,0.1,1,1359878779722853,3.760278292739843,1.1920930376163597e-7,1.1920930376163597e-7
1500,16,0.03,3,13644318201446826,17332.388477272674,1.1920930376163597e-7,1.193523644360539e-7
1500,12,0.03,6,136800650477084,4806.6463996593475,1.1920930376163597e-7,1.1920930376163597e-7
1250,16,0.03,2,13984807585686987,29183.773948171038,1.1920930376163597e-7,1.2102128721380723e-7
2000,8,0.03,1,14059814842298024,449.96782172655537,1.1920930376163597e-7,1.1934044152894785e-7
2000,12,0.01,5,14121650989700418,2778.601719546113,1.1920930376163597e-7,6.099381266722048e-7
1500,12,0.1,1,14360979957072528,5936.092065800182,1.1920930376163597e-7,1.2202265509131394e-7
1750,20,0.03,8,14490320037355198,32223.158203125,1.1920928955078125e-7,1.1920930376163597e-7
1750,4,0.03,7,14497357983581127,1.153781605192898,0.3544953167438507,0.347959965467453
1250,8,0.3,1,14585895453882836,6.796446923937398,0.0037603690288960934,0.016981398686766624
1250,12,0.01,7,14632604688787976,276772.65626132267,1.1920930376163597e-7,0.000012422193321981467
2000,4,0.1,4,14721046991051223,1.1561668122719564,0.6495047807693481,0.6955577731132507
1250,8,0.3,8,14959726044076893,1.1696541444583148,0.3459452688694,0.37085840106010437
2000,12,0.03,5,14959812714689558,483.08882737271114,1.1920930376163597e-7,1.1920930376163597e-7
2000,20,0.03,7,15085851248244198,16503.58201699471,1.1920930376163597e-7,1.196503802702864e-7
1000,12,0.01,8,15200402299894722,82818.00575232437,1.1920930376163597e-7,5.611166216112906e-7
1750,4,0.3,4,15226036391245767,1.10630454265328,0.33334821462631226,0.34239035844802856
1750,16,0.01,1,15304508654194382,2014.0266617132065,1.1920928955078125e-7,2.000135737034725e-7
1250,8,0.01,0,15360005117573772,1.4066740972677763,0.6251074075698853,0.6948642134666443
1750,12,1,4,15491584921449597,1.2022997309275674,0.298397421836853,0.3060058057308197
1250,4,0.1,0,156352547602285,1.2657471458829446,0.08321866393089294,0.08442975580692291
1750,16,1,1,1565575316019796,1.4953997357767894,0.2674475312232971,0.3208712935447693
1750,12,0.03,8,15662668815572667,11150.098186809033,1.1920928955078125e-7,1.1929274990052363e-7
2000,12,0.03,1,1601235969094953,3.3851737371405957,1.1920930376163597e-7,1.1920930376163597e-7
2000,12,0.1,5,16029410414381384,2.2444199560384415,1.1920930376163597e-7,1.2053253328758728e-7
1250,4,0.1,7,16092623186688948,1.175687348272852,0.42873504757881165,0.4319705367088318
1500,4,0.01,2,1616057618104355,1.1159548750237593,0.4177367389202118,0.43432605266571045
1500,8,0.01,7,16199753871691758,1.465720522424838,1.1920930376163597e-7,1.1925699539006018e-7
1000,4,0.3,3,16430280299323385,1.37547249599363,0.16146701574325562,0.1752348393201828
1750,20,1,1,16468993754634187,1.498923661936515,0.14065095782279968,0.1477997750043869
1000,20,1,3,16480546508285865,2.652686455443855,0.2744556963443756,0.6963686347007751
1500,20,1,4,16620601620607212,1.927883794857781,0.17267213761806488,0.2583714425563812
1000,12,0.01,5,16750895116637743,5.778117762024125,0.34486085176467896,0.7012088894844055
1500,8,0.3,5,16784307845658575,1.3942817548642839,0.00027847790624946356,0.000295048754196614
1250,20,1,5,16791462856048067,1.809719195349636,0.15852129459381104,0.19886557757854462
1750,4,1,8,1707018779881595,1.0845604449601887,0.6135400533676147,0.6452540755271912
1000,20,0.01,0,17174918617879176,25541282.76315837,1.1920930376163597e-7,0.7005643248558044
1000,16,0.01,1,1718691446131878,239811.1934039456,1.1920930376163597e-7,0.0004392469418235123
1500,20,0.01,2,17361957231757363,2304.6659850280303,1.1920930376163597e-7,1.773008762029349e-7
1750,16,0.1,3,1737452029436405,5.060354490414771,1.1920928955078125e-7,1.1920930376163597e-7
1250,16,0.3,4,1746092927338816,15.753942600755353,0.00003182813452440314,0.00003403695882298052
1000,8,0.03,6,17569010643340754,4.440216511445957,0.4289587140083313,0.6957858204841614
1250,16,1,0,17617555913308047,1.8704865496972822,0.2714928984642029,0.4415587782859802
2000,20,0.1,7,17638296227914307,36382.25301100299,1.1920930376163597e-7,1.1988879577984335e-7
1000,8,0.1,0,17796251993602707,1.3370307302254332,0.6177300810813904,0.6934887766838074
1250,4,0.03,2,17841819166323658,3.5674363248049166,0.0804058089852333,0.08909165859222412
2000,8,1,1,17942712193082933,1.1353743940385,0.4003632366657257,0.41141751408576965
1500,4,0.01,4,18257096308328447,1.2187863045506087,0.17282482981681824,0.17356416583061218
1250,8,0.1,1,18333720935080644,1.7350086381707455,0.5439459085464478,0.698898196220398
1000,4,1,2,18360515358982132,1.1348863432600753,0.5396620035171509,0.5838528871536255
2000,20,0.03,3,1837623170638869,65237.617223069996,1.1920930376163597e-7,1.2018682582493057e-7
1000,16,1,1,18404468174646726,2.604935192489846,0.3213607370853424,0.6980069875717163
1000,16,0.01,7,18560021020008133,211529.0443559438,1.1920930376163597e-7,0.0000044660441744781565
1000,16,0.03,5,18623723467185682,2117146.837108938,1.1920930376163597e-7,1.5573503731047822e-7
1500,12,0.1,5,18678914275561687,2.434520829822698,1.1920930376163597e-7,1.1920930376163597e-7
1750,20,0.01,4,18895723408404574,12182.29296875,1.1920928955078125e-7,3.688630840770202e-7
1750,8,1,3,19055336049368987,1.2084573228524718,0.37032175064086914,0.38145381212234497
1250,12,0.3,8,19065663536062882,1.8410589755688853,0.00007586013816762716,0.00008503136632498354
1250,12,0.1,0,19215378677505912,6069.005553213642,1.1920930376163597e-7,1.1920930376163597e-7
1000,20,0.3,1,1927340367178707,132936.60688571358,1.1920930376163597e-7,3.954768885705562e-7
1250,16,0.1,7,19295671991149999,2025.0819119117366,1.1920930376163597e-7,1.1920930376163597e-7
2000,20,0.01,2,19406809734386588,48371.455259535345,1.1920930376163597e-7,0.000001033987814480497
1000,16,0.1,3,19408938473959614,135701.22721008747,1.1920930376163597e-7,1.1920930376163597e-7
1750,16,1,3,1946191464535536,1.6093546105649026,0.2673591375350952,0.32734185457229614
1000,20,1,1,19527734792033458,2.852776040907077,0.21015210449695587,0.5767852663993835
1750,8,0.1,1,1958866819400571,1.3184991343405263,1.1920928955078125e-7,1.1920930376163597e-7
1250,16,0.1,6,19702876237931655,43549.444769423055,1.1920930376163597e-7,1.1920930376163597e-7
2000,4,0.1,5,19758884574814506,1.068966377368073,0.09014245867729187,0.08083715289831161
1500,8,0.01,1,19886155920061466,223.54794698382057,1.1920930376163597e-7,1.2193920895242627e-7
1000,16,0.03,1,1989475518375643,245852.911665954,1.1920930376163597e-7,1.3189317371598008e-7
1000,12,0.01,2,19926033931042086,8.12708577856073,0.3035152554512024,0.7060479521751404
1000,8,1,7,19938504281968827,1.5067889441087392,0.484607458114624,0.6885082125663757
2000,20,1,6,19970489116274492,1.3756045287197034,0.14247791469097137,0.14766190946102142
1500,16,0.03,6,20036661353445728,57501.80581932373,1.1920930376163597e-7,1.1924507248295413e-7
1250,4,0.3,1,20123407844530883,1.2194034897891959,0.188846617937088,0.1896909922361374
1750,20,0.3,8,20271167127480205,4.006614531497256,1.192433529695336e-7,1.2302400875796593e-7
1750,16,0.01,5,20334380546783637,23860.040620383108,1.1920928955078125e-7,4.174279979451967e-7
1500,4,1,0,2037304264143217,1.0897997069158765,0.6223246455192566,0.6751441359519958
1500,12,1,8,20588731580211705,1.4589318189553038,0.3888644576072693,0.5273425579071045
1250,16,0.01,6,20727172690447604,24554.721682224073,1.1920930376163597e-7,0.0000014352716561916168
1000,8,0.1,7,2097177639897534,66.46069003540511,1.1920930376163597e-7,1.2180807118511439e-7
1500,20,0.03,0,21242706804109768,11621.33064587943,1.1920930376163597e-7,1.1920930376163597e-7
1250,8,0.03,3,21252413661835556,52.27222963902597,1.1920930376163597e-7,1.1920930376163597e-7
1500,4,0.3,2,21300705644812745,1.1561758781898666,0.04973919689655304,0.05361603945493698
1250,8,0.01,7,2132637484191645,6488.4406327676015,1.1920930376163597e-7,1.440168091448868e-7
2000,16,1,8,21371711556680395,1.2635648954304461,0.32866379618644714,0.34555569291114807
1000,12,0.03,7,21444108865580802,22617.11449132985,1.1920930376163597e-7,1.1920930376163597e-7
1250,20,1,2,21544377069475262,1.932380436216123,0.28742659091949463,0.46237674355506897
1750,20,0.3,2,21731774943555227,1.3075142800359587,1.1920928955078125e-7,1.198530412693799e-7
1000,20,0.3,8,21799409479714849,3025.4235423687455,0.00005729883196181618,0.0920521467924118
1750,12,0.01,2,21940011548947846,583.5178833007812,1.1920928955078125e-7,1.7116153117058275e-7
1500,20,0.3,1,22018223907048917,2.2470280523928037,1.192887850720581e-7,1.229286397119722e-7
1000,12,0.1,2,2202005117621718,431.02365462874894,1.1920930376163597e-7,1.1920930376163597e-7
1250,16,0.3,6,22123757293644797,3.6951085431664232,1.1920930376163597e-7,1.236558091477491e-7
2000,8,0.3,5,22184217658365757,1.2823327654995869,0.0009097555885091424,0.0010300419526174664
1250,4,0.01,7,22197217705514427,1.2082524295279324,0.2539692223072052,0.26159393787384033
1500,20,0.01,6,2220343468884931,53003.04836904426,1.1920930376163597e-7,0.000010796979950100649
2000,16,0.1,5,2223875554386876,1.4547724469976957,1.1920930376163597e-7,1.1947156508540502e-7
1500,12,0.01,0,22272649233324737,9581.242021889446,1.1920930376163597e-7,0.000001985147264349507
1500,12,0.3,1,22277277507529814,1.7274452025245173,1.1920930376163597e-7,1.1996033322247968e-7
1000,20,1,2,22449821068180587,1.93365425252,0.2528330683708191,0.39625710248947144
1250,12,1,6,22771631293556527,1.4564146613196156,0.2947648763656616,0.32421770691871643
2000,16,0.3,3,23196558116985222,1.4415721704361637,1.257360224826698e-7,1.294851443844891e-7
2000,4,1,1,23290999340657803,1.060226193841164,0.5067558288574219,0.5097991228103638
1750,16,0.1,7,2340995844224767,756.673991362134,1.1920928955078125e-7,1.1920930376163597e-7
1000,12,0.3,0,23422326136085136,22.989481331413028,1.1920930376163597e-7,1.7733694335220207e-7
1750,12,0.1,3,23443234342954422,1.9976026991514249,1.1920928955078125e-7,1.1925699539006018e-7
1750,20,0.1,1,2344725548455634,12456.171184262195,1.1920928955078125e-7,1.1920930376163597e-7
1250,8,0.01,6,23607853315029015,467560.65377234406,1.1920930376163597e-7,0.0038131061010062695
1000,16,0.1,1,23639232642079722,3799995.9589849664,1.1920930376163597e-7,1.196503802702864e-7
1000,4,0.03,4,23658082947751546,1.5591261797803009,0.07971220463514328,0.0885741263628006
1000,20,0.03,6,23697971425961217,13591802.504431028,1.1920930376163597e-7,0.0000011193197906322894
2000,12,0.01,6,2376130104548846,5541.7636205553235,1.1920930376163597e-7,1.250624990234428e-7
2000,4,0.03,6,23784098965499534,1.0972878869737066,0.2602768540382385,0.25563278794288635
1000,20,1,8,23796115311666066,2.732021154147155,0.21423020958900452,0.5723522901535034
1250,16,0.3,5,23936803270154794,2.267041208565758,1.1920930376163597e-7,1.21879594416896e-7
1000,4,0.1,0,24108320226730162,1.5846690205146996,0.08388180285692215,0.091514453291893
1000,20,0.1,8,24135976532407344,2070895.0459561218,1.1920930376163597e-7,1.1920930376163597e-7
1500,12,0.1,0,24251336901933707,384.02867126123056,1.1920930376163597e-7,1.1920930376163597e-7
1000,16,0.1,7,24276802706992806,1617032.9241230215,1.1920930376163597e-7,1.1920930376163597e-7
2000,4,0.01,0,2448322746813537,1.7750373062561762,0.08179149031639099,0.08175207674503326
1000,12,0.1,7,24483427745822106,181583.4704259907,1.1920930376163597e-7,1.2050868747337518e-7
1750,8,0.01,1,24513508718781662,80.81907461972943,1.1920928955078125e-7,1.2167694762865722e-7
1000,20,0.1,5,24605749934350207,31428188.453027867,1.4257435054787493e-7,6.60547527786548e-7
1500,20,0.1,2,24654641410393074,15.492288480105547,1.1920930376163597e-7,1.2136699467646395e-7
1000,16,0.1,5,2465630050001335,92257.21377503895,1.1920930376163597e-7,1.1920930376163597e-7
1500,20,0.03,3,2465840209651471,2421.576615622447,1.1920930376163597e-7,1.1949541089961713e-7
1000,12,0.3,6,2467918578347803,7.322905503005815,0.000011582673323573545,0.000013781464076600969
1000,8,0.3,8,24762971988285554,1.2716769471037337,0.1674666851758957,0.1701989769935608
1250,8,0.03,6,24769720909450033,4586.045433286375,1.1920930376163597e-7,1.1920930376163597e-7
1250,20,0.1,7,2490264315204369,5294.563340695117,1.1920930376163597e-7,1.1920930376163597e-7
1250,8,0.1,2,24926278469513719,1.1397755561176266,0.34104350209236145,0.3479803800582886
